prompt,answer
"Is BITS Pilani Hyderabad autonomous?","Yes, BITS Pilani Hyderabad Campus is autonomous as it is part of BITS Pilani, recognized as an Institution of Eminence."
"BITS Hyderabad affiliated to which university?","BITS Pilani Hyderabad is a deemed university under BITS Pilani."
"What accreditations does BITS Hyderabad have?","BITS Pilani Hyderabad has NAAC A grade and UGC recognition."
"Branches available in BITS Pilani Hyderabad?","BITS Pilani Hyderabad offers B.E. in CSE, ECE, Mechanical, Civil, Chemical, Electrical."
"What is the fee structure for B.Tech at BITS Hyderabad?","The annual fee for B.Tech at BITS Pilani Hyderabad is approximately ₹5.73 lakh, totaling around ₹22.92 lakh for 4 years."
"Where is BITS Pilani Hyderabad Campus located?","It is located in Shamshabad, Hyderabad, about 70 km from the airport."
"Placements at BITS Hyderabad?","Nearly 100% placements, with around 600 students placed every semester."
"NIRF ranking of BITS Pilani Hyderabad?","BITS Pilani is ranked highly in NIRF; the Hyderabad campus contributes to overall top rankings in engineering."
"Does BITS Hyderabad offer Chemical Engineering?","Yes, Chemical Engineering is one of the branches offered at BITS Pilani Hyderabad."
"What is the location advantage of BITS Hyderabad?","The campus is on 200 acres surrounded by natural beauty, close to Hyderabad city."
"Accreditation status of BITS Pilani Hyderabad?","It has NAAC A grade and is recognized as an Institution of Eminence by the Government of India."
"Total cost for B.E. at BITS Hyderabad?","Approximately ₹22.92 lakh for the entire 4-year program."
"Is JNTUH College of Engineering autonomous?","Yes, JNTUH University College of Engineering is autonomous."
"JNTUH Engineering College affiliation?","It is part of Jawaharlal Nehru Technological University Hyderabad (JNTUH)."
"Accreditations of JNTUH College of Engineering?","UGC recognized and NAAC accredited."
"Branches in JNTUH College of Engineering?","JNTUH offers B.Tech in CSE, ECE, EEE, Mechanical, Civil, Chemical, and more (24 disciplines)."
"Fee for B.Tech at JNTUH College?","Annual fee is around ₹50,000, totaling approximately ₹2 lakh for 4 years."
"Where is JNTUH University College of Engineering located?","It is located in Kukatpally, Hyderabad, on an 89-acre campus."
"Placements at JNTUH Engineering College?","Good placement record, though specific details vary; many students placed in top companies."
"NIRF ranking for JNTUH?","JNTUH is ranked in NIRF engineering category."
"Does JNTUH offer Chemical Engineering?","Yes, Chemical Engineering is one of the B.Tech branches at JNTUH."
"What is the campus size of JNTUH?","The main campus is 89 acres in Kukatpally, with additional campuses."
"Total students at JNTUH?","Over 3.50 lakh students across affiliated colleges."
"Annual tuition at JNTUH College of Engineering?","Around ₹50,000 per year for B.Tech."
"Is Vardhaman College autonomous?","Yes, Vardhaman College of Engineering is autonomous and affiliated to JNTUH."
"Vardhaman affiliation?","Affiliated to Jawaharlal Nehru Technological University Hyderabad (JNTUH)."
"Accreditations of Vardhaman College?","NAAC A++ with CGPA 3.58, NBA accredited for several programs."
"Branches at Vardhaman College of Engineering?","CSE, IT, ECE, EEE, Mechanical, Civil, AI&ML, Data Science."
"Vardhaman B.Tech fee?","Annual fee approximately ₹1.43 lakh, total around ₹5.72 lakh for 4 years."
"Location of Vardhaman College?","Located in Shamshabad, Hyderabad."
"Placements overview at Vardhaman?","Students placed in top MNCs; detailed stats available on their placements page."
"Does Vardhaman have NBA accreditation?","Yes, six B.Tech programs are NBA accredited under Tier-1."
"NIRF ranking of Vardhaman College?","Not specified, but highly regarded in rankings."
"What specializations in CSE at Vardhaman?","CSE with AI&ML and Data Science specializations."
"Total fee for B.Tech at Vardhaman?","Approximately ₹5.72 lakh for the 4-year program."
"Campus location benefits of Vardhaman?","Situated in Kacharam Village, Shamshabad, near Hyderabad airport."
"Is Anurag University autonomous?","Yes, Anurag University is UGC autonomous and private."
"Anurag University affiliation?","It is a private university, recognized by AICTE and JNTUH."
"Accreditations at Anurag University?","NAAC A+, NBA accredited."
"Branches offered at Anurag University?","CSE, ECE, Mechanical, Civil, AI&ML, Data Science."
"Fee structure for B.Tech at Anurag?","Annual fee around ₹2.5 lakh, total approximately ₹10 lakh for 4 years."
"Where is Anurag University located?","Located in Ghatkesar, Hyderabad."
"Placements at Anurag University?","98% placement rate, highest package 38.5 LPA, average 4.73 LPA."
"NIRF ranking of Anurag University?","Ranked in top 150 NIRF in India."
"Does Anurag offer AI&ML branch?","Yes, AI&ML is offered in B.Tech at Anurag University."
"What is the highest package at Anurag?","The highest placement package is 38.5 LPA."
"Total B.Tech cost at Anurag University?","Around ₹10 lakh for 4 years."
"Accreditation grade of Anurag?","NAAC A+ and NBA for programs."
"Is BVRIT for Women autonomous?","Yes, BVRIT Hyderabad College of Engineering for Women is autonomous and affiliated to JNTUH."
"BVRIT Women affiliation?","Affiliated to JNTUH."
"Accreditations of BVRIT Women?","NAAC A grade, AICTE approved."
"Branches at BVRIT Hyderabad for Women?","CSE, IT, ECE, EEE."
"B.Tech fee at BVRIT Women?","Annual fee approximately ₹1.2 lakh, total around ₹4.8 lakh for 4 years."
"Location of BVRIT Women College?","Located in Bachupally, Hyderabad."
"Placements at BVRIT Women?","1500+ placements, highest 10 LPA, 150+ recruiters."
"Does BVRIT Women offer ECE?","Yes, ECE is one of the branches."
"NIRF ranking for BVRIT Women?","Not specified, but ranked well in surveys."
"What is the intake for CSE at BVRIT?","High intake for CSE, around 540 in general BVRIT."
"Total fee for engineering at BVRIT Women?","Approximately ₹4.8 lakh for 4 years."
"Is KMIT autonomous?","No, KMIT is not autonomous; affiliated to JNTUH."
"KMIT affiliation?","Affiliated to JNTUH."
"Accreditations at KMIT?","AICTE approved, NAAC accredited."
"Branches offered in KMIT?","CSE, IT, ECE, AI&ML."
"Fee for B.Tech at KMIT?","Annual fee around ₹1.03 lakh, total approximately ₹4.12 lakh for 4 years."
"Where is KMIT located?","Located in Narayanaguda, Hyderabad."
"Placements at KMIT?","Good placements, with students getting offers from Amazon, etc."
"Does KMIT have AI&ML branch?","Yes, AI&ML is offered."
"What scholarships at KMIT?","Government-sanctioned scholarships for eligible students."
"Location advantage of KMIT?","Central location in Narayanaguda, easy access in Hyderabad."
"Is Matrusri Engineering College autonomous?","Yes, Matrusri is autonomous and affiliated to Osmania University."
"Matrusri affiliation?","Affiliated to Osmania University."
"Accreditations of Matrusri?","AICTE approved."
"Branches at Matrusri College?","CSE, ECE, EEE, Mechanical, Civil."
